sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:obsolete_conceptId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
48099,Viral pneumonia,156,,2000302807,,5-char ICD8fi,Condition,1970-01-01,2099-12-31,480,,,1.00,APPROVED,EQUAL,Javier,1641651726877,261326,Viral pneumonia,Condition,MAPS_TO,,<auto>,1641575646079,
06590,"Viral encephalitis, unspecified, Encephalitis lethargica",0,,2000300451,"Virus-aivotulehdus, tarkemmin määrittelemätön, Encephalitis lethargica",5-char ICD8fi,Condition,1970-01-01,2099-12-31,065,,,0.59,APPROVED,EQUAL,Greta,1721301510447,4088249,Encephalitis lethargica,Condition,MAPS_TO,,<auto>,1641575422276,
065,"Viral encephalitis, unspecified",0,,2000300450,"Virus-aivotulehdus, tarkemmin määrittelemätön",3-char ICD8fi,Condition,1970-01-01,2099-12-31,060-068,,,0.63,UNCHECKED,UNREVIEWED,,0,4001594,Non-specific,Observation,MAPS_TO,,<auto>,1641575414519,
06599,"Viral encephalitis, unspecified",56,,2000300452,"Virus-aivotulehdus, tarkemmin määrittelemätön, Encephalitis virosa NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,065,,,0.63,APPROVED,EQUAL,Greta,1723195054660,372547,Viral encephalitis,Condition,MAPS_TO,,Greta,1723195053876,
064,Viral encephalitis transmitted by other arthropods,0,,2000300448,Muiden niveljalkaisten välityksellä tarttuva virus-aivotulehdus,3-char ICD8fi,Condition,1970-01-01,2099-12-31,060-068,,,0.55,UNCHECKED,UNREVIEWED,,0,4015850,Control of other arthropods,Procedure,MAPS_TO,,<auto>,1641575399568,
06499,Viral encephalitis transmitted by other arthropods,0,,2000300449,Muiden niveljalkaisten välityksellä tarttuva virus-aivotulehdus,5-char ICD8fi,Condition,1970-01-01,2099-12-31,064,,,0.55,UNCHECKED,UNREVIEWED,,0,4015850,Control of other arthropods,Procedure,MAPS_TO,,<auto>,1641575409624,
101,Vincent's angina,0,,2000300665,Plaut Vincentin angina,3-char ICD8fi,Condition,1970-01-01,2099-12-31,100-104,,,1.00,APPROVED,EQUAL,Javier,1641651726877,26908,Vincent's angina,Condition,MAPS_TO,,<auto>,1641573859710,
10199,Vincent's angina,0,,2000300666,Plaut Vincentin angina,5-char ICD8fi,Condition,1970-01-01,2099-12-31,101,,,1.00,APPROVED,EQUAL,Javier,1641651726877,26908,Vincent's angina,Condition,MAPS_TO,,<auto>,1641573862429,
72860,"Vertebrogenic pain syndrome, Thoracic myelopathy",8,,2000304597,"Selkäsärky, Myelopathia columnae vertebralis thoracicae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.72,APPROVED,EQUAL,Greta,1721301526958,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568423695,
72830,"Vertebrogenic pain syndrome, Radicular syndrome of upper limbs",151,,2000304594,"Selkäsärky, Syndroma radicularis extremitatum superiorum",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.74,APPROVED,EQUAL,Greta,1723118745420,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,Greta,1723118740467,
72880,"Vertebrogenic pain syndrome, Radicula syndrome of lower limbs",1348,,2000304599,"Selkäsärky, Syndroma radicularis extremitatum inferiorum",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.69,APPROVED,EQUAL,Greta,1722859822522,4286352,Radicular syndrome of lower limbs,Condition,MAPS_TO,,<auto>,1641568441089,
72880,"Vertebrogenic pain syndrome, Radicula syndrome of lower limbs",1348,,2000304599,"Selkäsärky, Syndroma radicularis extremitatum inferiorum",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.69,APPROVED,EQUAL,Greta,1722859822522,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,Greta,1722859818754,
72850,"Vertebrogenic pain syndrome, Pain in thoracic spine",79,,2000304596,"Selkäsärky, Dolores columnae vertebralis thoracicae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.78,APPROVED,EQUAL,Greta,1721301535614,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568414498,
72899,"Vertebrogenic pain syndrome, Other and unspecified",319,,2000304601,"Selkäsärky, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.69,APPROVED,EQUAL,Greta,1720703821209,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568456897,
72870,"Vertebrogenic pain syndrome, Lumbalgia",939,,2000304598,"Selkäsärky, Lumbalgia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.73,APPROVED,EQUAL,Greta,1722860441444,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568430735,
72870,"Vertebrogenic pain syndrome, Lumbalgia",939,,2000304598,"Selkäsärky, Lumbalgia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.73,APPROVED,EQUAL,Greta,1722860441444,194133,Low back pain,Condition,MAPS_TO,,Greta,1722860440307,
72820,"Vertebrogenic pain syndrome, Diffuse syndrome cerviocobrachial",180,,2000304593,"Selkäsärky, Syndroma cervico-brachialis diffusa",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.70,APPROVED,EQUAL,Greta,1721034039736,77639,Diffuse cervicobrachial syndrome,Condition,MAPS_TO,,<auto>,1641568385817,
72810,"Vertebrogenic pain syndrome, Cervicocranial syndrome",95,,2000304592,"Selkäsärky, Syndroma cervico-cranialis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.74,APPROVED,EQUAL,Greta,1721129738058,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568376351,
72800,"Vertebrogenic pain syndrome, Cervicalgia",174,,2000304591,"Selkäsärky, Cervicalgia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.75,APPROVED,EQUAL,Greta,1721124910945,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568367477,
72840,"Vertebrogenic pain syndrome, Cervial myelopathy",13,,2000304595,"Selkäsärky, Myelopathia columnae vertebralis thoracicae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.71,APPROVED,EQUAL,Greta,1721301549458,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568406030,
72898,"Vertebrogenic pain syndrome, Alia definita",250,,2000304600,"Selkäsärky, Alia definita",5-char ICD8fi,Condition,1970-01-01,2099-12-31,728,,,0.77,APPROVED,EQUAL,Greta,1720704789258,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568448551,
728,Vertebrogenic pain syndrome,0,,2000304590,Selkäsärky,3-char ICD8fi,Condition,1970-01-01,2099-12-31,720-729,,,1.00,APPROVED,EQUAL,Javier,1641651726877,4160900,Vertebrogenic pain syndrome,Condition,MAPS_TO,,<auto>,1641568359349,
E927,Vehicle accidents not elsewhere classifiable,0,,2000306585,"Ajoneuvo-onnetomuudet, joita ei voida luokitella muualle.",4-char ICD8fi,Condition,1970-01-01,2099-12-31,E890-E999|E910-E939,,,0.54,APPROVED,EQUAL,Greta,1721051441507,4168046,Vehicle accident,Observation,MAPS_TO,,<auto>,1641574914057,
E9279,Vehicle accidents not elsewhere classifiable,25,,2000306586,"Ajoneuvo-onnetomuudet, joita ei voida luokitella muualle. Sisältää pysäköidyn moottoriajoneuvon yksityisellä alueella (autotallissa, työpajassa), köysiradan, hissin, matkatavarankuljetusvaunun, tehdassajoneuvon ja kaivosajoneuvon. Ei sisällä liikenteessä olevaa (ei myöskään tilapäisesti pysäköityä) moottoriajoneuvoa (E 819)",5-char ICD8fi,Condition,1970-01-01,2099-12-31,E927,,,0.54,APPROVED,EQUAL,Greta,1721301561415,4168046,Vehicle accident,Observation,MAPS_TO,,<auto>,1641574922361,
45610,"Varicose veins of other sites, Of scrotum",175,,2000302757,,5-char ICD8fi,Condition,1970-01-01,2099-12-31,456,,,0.53,APPROVED,EQUAL,Greta,1721301567137,312349,Venous varices,Condition,MAPS_TO,,<auto>,1641575294734,
45698,"Varicose veins of other sites, Of other sites",82,,2000302758,,5-char ICD8fi,Condition,1970-01-01,2099-12-31,456,,,0.61,APPROVED,EQUAL,Greta,1721301569871,312349,Venous varices,Condition,MAPS_TO,,<auto>,1641575302017,
45600,"Varicose veins of other sites, Of oesophagus",0,,2000302756,,5-char ICD8fi,Condition,1970-01-01,2099-12-31,456,,,0.64,UNCHECKED,UNREVIEWED,,0,4248272,Esophagoscopy for injection of esophageal varices,Procedure,MAPS_TO,,<auto>,1641575287606,
456,Varicose veins of other sites,0,,2000302755,,3-char ICD8fi,Condition,1970-01-01,2099-12-31,450-458,,,0.69,APPROVED,EQUAL,Greta,1721301575793,312349,Venous varices,Condition,MAPS_TO,,<auto>,1641575280239,
45400,"Varicose veins of lower extremities, With ulcer",221,,2000302751,"Suonikohjut alaraajoissa, Ulcus varicosum cruris",5-char ICD8fi,Condition,1970-01-01,2099-12-31,454,,,0.71,APPROVED,EQUAL,Greta,1722937273268,318169,Varicose veins of lower extremity,Condition,MAPS_TO,,Greta,1722937262473,
45499,"Varicose veins of lower extremities, Other and unspecified, without ulcer",6934,,2000302752,"Suonikohjut alaraajoissa, Ulcus non indicata",5-char ICD8fi,Condition,1970-01-01,2099-12-31,454,,,0.62,APPROVED,EQUAL,Greta,1722858422925,318169,Varicose veins of lower extremity,Condition,MAPS_TO,,Greta,1722858337746,
454,Varicose veins of lower extremities,0,,2000302750,Suonikohjut alaraajoissa,3-char ICD8fi,Condition,1970-01-01,2099-12-31,450-458,,,0.91,APPROVED,EQUAL,Greta,1721051469534,318169,Varicose veins of lower extremity,Condition,MAPS_TO,,<auto>,1641575250006,
62330,"Uterovaginal prolapse, Vaginal enterocele",62,,2000303479,"Kohdun ja emättimen esiinluiskahdus, Enterocele vaginalis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.73,APPROVED,EQUAL,Greta,1721313323882,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570107448,
62320,"Uterovaginal prolapse, Urethrocele",14,,2000303478,"Kohdun ja emättimen esiinluiskahdus, Urethrocele",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.72,APPROVED,EQUAL,Greta,1721313328684,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570097898,
62310,"Uterovaginal prolapse, Rectocele",234,,2000303477,"Kohdun ja emättimen esiinluiskahdus, Rectocele (proctocele) feminae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.75,APPROVED,EQUAL,Greta,1722934908007,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570089087,
62310,"Uterovaginal prolapse, Rectocele",234,,2000303477,"Kohdun ja emättimen esiinluiskahdus, Rectocele (proctocele) feminae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.75,APPROVED,EQUAL,Greta,1722934908007,40490888,Herniation of rectum into vagina,Condition,MAPS_TO,,Greta,1722934905771,
62300,"Uterovaginal prolapse, Prolapsus vesicae",101,,2000303475,"Kohdun ja emättimen esiinluiskahdus, Prolapsus vesicae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.71,APPROVED,EQUAL,Greta,1721129371906,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570067360,
62399,"Uterovaginal prolapse, Other and unspecified",92,,2000303482,"Kohdun ja emättimen esiinluiskahdus, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.61,APPROVED,EQUAL,Greta,1721129895931,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570137343,
62391,"Uterovaginal prolapse, Elongatio cervicis",33,,2000303480,"Kohdun ja emättimen esiinluiskahdus, Elongatio cervicis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.64,APPROVED,EQUAL,Greta,1721313333701,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570119696,
62301,"Uterovaginal prolapse, Cystocele alia",370,,2000303476,"Kohdun ja emättimen esiinluiskahdus, Cystocele alia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.69,APPROVED,EQUAL,Greta,1720703321756,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570077912,
62398,"Uterovaginal prolapse, Alia",189,,2000303481,"Kohdun ja emättimen esiinluiskahdus, Alia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,623,,,0.80,APPROVED,EQUAL,Greta,1721030552615,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570126702,
623,Uterovaginal prolapse,0,,2000303474,Kohdun ja emättimen esiinluiskahdus,3-char ICD8fi,Condition,1970-01-01,2099-12-31,620-629,,,1.00,APPROVED,EQUAL,Javier,1641651726877,192683,Uterovaginal prolapse,Condition,MAPS_TO,,<auto>,1641570058549,
218,Uterine fibroma,0,,2000301199,Kohdun sidekudoskasvain,3-char ICD8fi,Condition,1970-01-01,2099-12-31,210-228,,,0.81,APPROVED,EQUAL,Greta,1721979491588,197236,Uterine leiomyoma,Condition,MAPS_TO,,<auto>,1641572206304,
21899,Uterine fibroma,4208,,2000301200,Kohdun sidekudoskasvain,5-char ICD8fi,Condition,1970-01-01,2099-12-31,218,,,0.81,APPROVED,EQUAL,Greta,1721224843233,197236,Uterine leiomyoma,Condition,MAPS_TO,,<auto>,1641572209477,
70891,"Urticaria, Recidivans, Chronica",265,,2000304460,"Nokkosihottuma, Recidivans, Chronica",5-char ICD8fi,Condition,1970-01-01,2099-12-31,708,,,0.46,APPROVED,EQUAL,Greta,1721054820145,4198855,Chronic urticaria,Condition,MAPS_TO,,<auto>,1641569036162,
70899,"Urticaria, Other and unspecified",134,,2000304462,"Nokkosihottuma, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,708,,,0.62,APPROVED,EQUAL,Greta,1723016317096,139900,Urticaria,Condition,MAPS_TO,,Greta,1723016315380,
70800,"Urticaria, Angioneurotic oedema",74,,2000304458,"Nokkosihottuma, Angioneurotica",5-char ICD8fi,Condition,1970-01-01,2099-12-31,708,,,0.76,APPROVED,EQUAL,Greta,1721313376117,432791,Angioedema,Condition,MAPS_TO,,<auto>,1641569027751,
70898,"Urticaria, Alia definita",29,,2000304461,"Nokkosihottuma, Alia definita",5-char ICD8fi,Condition,1970-01-01,2099-12-31,708,,,0.49,APPROVED,EQUAL,Greta,1721313395798,4275899,Urticaria,Observation,MAPS_TO,,<auto>,1641569041055,
70890,"Urticaria, Acuta",231,,2000304459,"Nokkosihottuma, Acuta",5-char ICD8fi,Condition,1970-01-01,2099-12-31,708,,,0.58,APPROVED,EQUAL,Greta,1720783725187,4299303,Acute urticaria,Condition,MAPS_TO,,<auto>,1641569030702,
708,Urticaria,0,,2000304457,Nokkosihottuma,3-char ICD8fi,Condition,1970-01-01,2099-12-31,700-709,,,1.00,APPROVED,EQUAL,Javier,1641651726877,4275899,Urticaria,Observation,MAPS_TO,,<auto>,1641569020715,
63500,"Urinary infections arising during pregnancy and the puerperium, Pyelonephritis",398,,2000303599,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Pyelonephritis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,635,,,0.53,APPROVED,EQUAL,Greta,1722867301893,198199,Pyelonephritis,Condition,MAPS_TO,,Greta,1722867248297,
63500,"Urinary infections arising during pregnancy and the puerperium, Pyelonephritis",398,,2000303599,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Pyelonephritis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,635,,,0.53,APPROVED,EQUAL,Greta,1722867301893,4146482,Urinary tract infection in pregnancy,Condition,MAPS_TO,,Greta,1722867296525,
63501,"Urinary infections arising during pregnancy and the puerperium, Pyelitis et pyelocystitis",186,,2000303600,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Pyelitis et pyelocystitis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,635,,,0.52,APPROVED,EQUAL,Greta,1723117886642,4146482,Urinary tract infection in pregnancy,Condition,MAPS_TO,,Greta,1723117884863,
63599,"Urinary infections arising during pregnancy and the puerperium, Other and unspecified",105,,2000303603,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,635,,,0.52,APPROVED,EQUAL,Greta,1723160023961,4146482,Urinary tract infection in pregnancy,Condition,MAPS_TO,,Greta,1723160022965,
63590,"Urinary infections arising during pregnancy and the puerperium, Cystitis",58,,2000303601,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Cystitis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,635,,,0.57,APPROVED,EQUAL,Greta,1723194847605,4146482,Urinary tract infection in pregnancy,Condition,MAPS_TO,,Greta,1723194841051,
63598,"Urinary infections arising during pregnancy and the puerperium, Aliae definitae",62,,2000303602,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Aliae definitae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,635,,,0.54,APPROVED,EQUAL,Greta,1723194326439,4146482,Urinary tract infection in pregnancy,Condition,MAPS_TO,,Greta,1723194325839,
635,Urinary infections arising during pregnancy and the puerperium,0,,2000303598,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana",3-char ICD8fi,Condition,1970-01-01,2099-12-31,635-639,,,0.64,UNCHECKED,UNREVIEWED,,0,4066260,Galactorrhea in pregnancy and the puerperium,Condition,MAPS_TO,,<auto>,1641571505722,
59709,"Urethritis (non-venereal), Unspecified",29,,2000303339,"Virtsanjohtimentulehdus, ei sukupuolitaudista johtuvaa, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,597,,,0.58,APPROVED,EQUAL,Greta,1723208976290,195862,Urethritis,Condition,MAPS_TO,,Greta,1723208975038,
59701,"Urethritis (non-venereal), Recidivans",0,,2000303335,"Virtsanjohtimentulehdus, ei sukupuolitaudista johtuvaa, Recidivans",5-char ICD8fi,Condition,1970-01-01,2099-12-31,597,,,0.59,APPROVED,EQUAL,Greta,1721979577968,201792,Nongonococcal urethritis,Condition,MAPS_TO,,<auto>,1641575568216,
