sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:auto_concept_id_equivalence,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptId,ADD_INFO:sourceDomain,ADD_INFO:sourceConceptClass,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:obsolete_conceptId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
7300K,"Osteomyelitis, periostitis and other infections involving bone, Acute osteomyelitis[OSTEOMYELITIS ACUTA,MULTIPPELI LOKALISAATIO]",0,133002,parent_match,"OSTEOMYELITIS ACUTA,MULTIPPELI LOKALISAATIO",2000406129,Condition,5-char ICD9fi,1970-01-01,2099-12-31,730,,,0.38,APPROVED,NARROWER,Javier,1642756738661,4215452,Acute osteomyelitis of pelvic region,Condition,MAPS_TO,,<auto>,1642597791506,
5586X,"Other non-infective gastro-enteritis and colitis[KROONINEN INFLAMMATOORINEN SUOLISTOSAIRAUS, NUD]",80,4043371,grandparent_match,"KROONINEN INFLAMMATOORINEN SUOLISTOSAIRAUS, NUD",2000404423,Condition,5-char ICD9fi,1970-01-01,2099-12-31,558,,,0.45,APPROVED,NARROWER,Javier,1642756721361,4145072,Non-infective enteritis and colitis,Condition,MAPS_TO,,<auto>,1642597791716,
1176A,"Other mycoses, Allescheriosis [Petriellidosis]",0,442185,unique_parent_match,ALLESCHERIOSIS (PETRIELLIDOSIS),2000400854,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.53,APPROVED,EQUIVALENT,Javier,1642756805650,442185,Allescheriosis,Condition,MAPS_TO,,<auto>,1642597792336,
362,Other retinal disorders,0,378416,full_match,ALII MORBI RETINAE,2000403231,Condition,3-char ICD9fi,1970-01-01,2099-12-31,360-379,,,0.76,APPROVED,EQUAL,Javier,1642756146926,378416,Retinal disorder,Condition,MAPS_TO,,<auto>,1642597793573,
9444D,"Burn of wrist(s) and hand(s), Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part[COMBUST CARPI/MANUS GR III CUM NECR PROF,50-69%]",0,81757,parent_match,"COMBUST CARPI/MANUS GR III CUM NECR PROF,50-69%",2000408313,Condition,5-char ICD9fi,1970-01-01,2099-12-31,944,,,0.34,APPROVED,NARROWER,Javier,1642756738661,443855,Deep third degree burn of wrist,Condition,MAPS_TO,,<auto>,1642597794210,
1177A,"Other mycoses, Zygomycosis [Phycomycosis or Mucormycosis]",0,432830,unique_parent_match,MUCORMYCOSIS,2000400855,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.55,APPROVED,EQUIVALENT,Javier,1642756805650,432830,Zygomycosis,Condition,MAPS_TO,,<auto>,1642597794247,
4871A,"Influenza, With other respiratory manifestations",69,4183609,unique_parent_match,INFLUENZA CUM SYMPTOMATE RESPIRATORIO ALIO,2000403976,Condition,5-char ICD9fi,1970-01-01,2099-12-31,487,,,0.67,APPROVED,EQUIVALENT,Javier,1642756805650,320752,Influenza with non-respiratory manifestation,Condition,MAPS_TO,,<auto>,1642597794784,
1848X,"Malignant neoplasm of other and unspecified female genital organs, Other specified sites of female genital organs",0,201238,unique_parent_match,NEOPLASMA MALIGNUM GENITALIUM MULIERIS LOCO ALIO,2000401601,Condition,5-char ICD9fi,1970-01-01,2099-12-31,184,,,0.70,APPROVED,EQUIVALENT,Javier,1642756805650,44505192,"Neoplasm, malignant of other specified parts of female genital organs",Condition,MAPS_TO,,<auto>,1642597795557,
6808A,"Carbuncle and furuncle, Other specified sites[CARBUNCULUS LOCO MULTIPLICI]",0,36715557,parent_match,CARBUNCULUS LOCO MULTIPLICI,2000405378,Condition,5-char ICD9fi,1970-01-01,2099-12-31,680,,,0.34,APPROVED,NARROWER,Javier,1642756738661,376537,"Closed fracture of mandible, multiple sites",Condition,MAPS_TO,,<auto>,1642597796615,
5587A,Other non-infective gastro-enteritis and colitis[POLYPUS NONNEOPLASTICUS COLI],49,4043371,grandparent_match,POLYPUS NONNEOPLASTICUS COLI,2000404424,Condition,5-char ICD9fi,1970-01-01,2099-12-31,558,,,0.54,APPROVED,NARROWER,Javier,1642756721361,4145072,Non-infective enteritis and colitis,Condition,MAPS_TO,,<auto>,1642597797062,
7300X,"Osteomyelitis, periostitis and other infections involving bone, Acute osteomyelitis[OSTEOMYELITIS ACUTA,TARKEMMIN MÄÄRITTELEMÄTÖN]",0,133002,parent_match,"OSTEOMYELITIS ACUTA,TARKEMMIN MÄÄRITTELEMÄTÖN",2000406130,Condition,5-char ICD9fi,1970-01-01,2099-12-31,730,,,0.31,APPROVED,NARROWER,Javier,1642756738661,133002,Acute osteomyelitis,Condition,MAPS_TO,,<auto>,1642597797402,
4878X,"Influenza, With other manifestations",79,4266367,unique_parent_match,INFLUENZA ALIA DEFINITA SEU NUD,2000403977,Condition,5-char ICD9fi,1970-01-01,2099-12-31,487,,,0.53,APPROVED,EQUIVALENT,Javier,1642756805650,320752,Influenza with non-respiratory manifestation,Condition,MAPS_TO,,<auto>,1642597798862,
1178A,"Other mycoses, Infection by dematiacious fungi [Phaehyphomycosis][PHAEOHYPHOMYCOSIS]",0,438365,parent_match,PHAEOHYPHOMYCOSIS,2000400856,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.50,APPROVED,NARROWER,Javier,1642756738661,438365,Phaeohyphomycosis,Condition,MAPS_TO,,<auto>,1642597799135,
3620A,"Other retinal disorders, Diabetic retinopathy[RETINOPATHIA DIABETICA NON PROLIFERATIVA]",23,4174977,parent_match,RETINOPATHIA DIABETICA NON PROLIFERATIVA,2000403232,Condition,5-char ICD9fi,1970-01-01,2099-12-31,362,,,0.57,APPROVED,NARROWER,Javier,1642756738661,376683,Nonproliferative retinopathy due to diabetes mellitus,Condition,MAPS_TO,,<auto>,1642597799290,
1849X,"Malignant neoplasm of other and unspecified female genital organs, Female genital organ, site unspecified",0,201238,unique_parent_match,NEOPLASMA MALIGNUM GENITALIUM MULIERIS NUD,2000401602,Condition,5-char ICD9fi,1970-01-01,2099-12-31,184,,,0.64,APPROVED,EQUIVALENT,Javier,1642756805650,44505192,"Neoplasm, malignant of other specified parts of female genital organs",Condition,MAPS_TO,,<auto>,1642597801122,
6808X,"Carbuncle and furuncle, Other specified sites[CARBUNCULUS ALIO LOCO DEFINITO]",22,36715557,parent_match,CARBUNCULUS ALIO LOCO DEFINITO,2000405379,Condition,5-char ICD9fi,1970-01-01,2099-12-31,680,,,0.30,APPROVED,NARROWER,Javier,1642756738661,36565216,Peritoneal inclusion cysts of other specified parts of male genital organs,Condition,MAPS_TO,,<auto>,1642597801553,
1178B,"Other mycoses, Infection by dematiacious fungi [Phaehyphomycosis][RHIZOPUSIOSIS]",0,438365,parent_match,RHIZOPUSIOSIS,2000400857,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.40,APPROVED,NARROWER,Javier,1642756738661,4219328,Infection by Rhizopus,Condition,MAPS_TO,,<auto>,1642597802904,
490,"Bronchitis, not specified as acute or chronic",0,256451,full_match,BRONCHITIS NUD,2000403978,Condition,3-char ICD9fi,1970-01-01,2099-12-31,490-496,,,0.53,APPROVED,EQUAL,Javier,1642756146926,260139,Acute bronchitis,Condition,MAPS_TO,,<auto>,1642597803296,
3620B,"Other retinal disorders, Diabetic retinopathy[RETINOPATHIA DIABETICA PROLIFERATIVA]",167,4174977,parent_match,RETINOPATHIA DIABETICA PROLIFERATIVA,2000403233,Condition,5-char ICD9fi,1970-01-01,2099-12-31,362,,,0.56,APPROVED,NARROWER,Javier,1642756738661,380096,Proliferative retinopathy due to diabetes mellitus,Condition,MAPS_TO,,<auto>,1642597803896,
185,Malignant neoplasm of prostate,0,200962,full_match,NEOPLASMA MALIGNUM PROSTATAE,2000401603,Condition,3-char ICD9fi,1970-01-01,2099-12-31,179-189,,,0.88,APPROVED,EQUAL,Javier,1642756146926,200962,Primary malignant neoplasm of prostate,Condition,MAPS_TO,,<auto>,1642597803973,
6809X,"Carbuncle and furuncle, Unspecified site",10,36715557,unique_parent_match,CARBUNCULUS NUD,2000405380,Condition,5-char ICD9fi,1970-01-01,2099-12-31,680,,,0.42,APPROVED,EQUIVALENT,Javier,1642756805650,132987,Carbuncle of upper arm and forearm,Condition,MAPS_TO,,<auto>,1642597804091,
5589X,"Other non-infective gastro-enteritis and colitis, Other and unspecified non-infectious gastro-enteritis and colitis",95,4043371,unique_parent_match,MUU EI-INFEKTIOOSI SUOLISTOSAIRAUS,2000404425,Condition,5-char ICD9fi,1970-01-01,2099-12-31,558,,,0.58,APPROVED,EQUIVALENT,Javier,1642756805650,4145072,Non-infective enteritis and colitis,Condition,MAPS_TO,,<auto>,1642597804297,
9444E,"Burn of wrist(s) and hand(s), Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part[COMBUST CARPI/MANUS GR III CUM NECR PROF,>70%]",0,81757,parent_match,"COMBUST CARPI/MANUS GR III CUM NECR PROF,>70%",2000408314,Condition,5-char ICD9fi,1970-01-01,2099-12-31,944,,,0.34,APPROVED,NARROWER,Javier,1642756738661,443855,Deep third degree burn of wrist,Condition,MAPS_TO,,<auto>,1642597804836,
7301A,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,OLKANIVELEN SEUTU]",0,134735,parent_match,"OSTEOMYELITIS CHRONICA,OLKANIVELEN SEUTU",2000406131,Condition,5-char ICD9fi,1970-01-01,2099-12-31,730,,,0.38,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597805306,
1179X,"Other mycoses, Other and unspecified mycoses",0,433701,unique_parent_match,MYCOSES ALIA DEFINITA SEU NUD,2000400858,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.57,APPROVED,EQUIVALENT,Javier,1642756805650,36562855,"Poroma, NOS, of skin of other and unspecified parts of face",Condition,MAPS_TO,,<auto>,1642597805672,
1850A,Malignant neoplasm of prostate[NEOPLASMA MALIGNUM PROSTATAE],187,200962,grandparent_match,NEOPLASMA MALIGNUM PROSTATAE,2000401604,Condition,5-char ICD9fi,1970-01-01,2099-12-31,185,,,0.57,APPROVED,NARROWER,Javier,1642756721361,200962,Primary malignant neoplasm of prostate,Condition,MAPS_TO,,<auto>,1642597806707,
681,Cellulitis and abscess of finger and toe,0,4065991,full_match,CELLULITIS (PHLEGMONE) DIGITI MANUS ET PEDIS,2000405381,Condition,3-char ICD9fi,1970-01-01,2099-12-31,680-686,,,1.00,APPROVED,EQUAL,Javier,1642756146926,4065991,Cellulitis and abscess of finger and toe,Condition,MAPS_TO,,<auto>,1642597806917,
118,Opportunistic mycoses,0,432248,full_match,MYCOSIS OPPORTUNISTICA ALIA,2000400859,Condition,3-char ICD9fi,1970-01-01,2099-12-31,110-118,,,0.93,APPROVED,EQUAL,Javier,1642756146926,432248,Opportunistic mycosis,Condition,MAPS_TO,,<auto>,1642597807183,
4900A,"Bronchitis, not specified as acute or chronic[BRONCHITIS NUD]",332,256451,grandparent_match,BRONCHITIS NUD,2000403979,Condition,5-char ICD9fi,1970-01-01,2099-12-31,490,,,0.39,APPROVED,NARROWER,Javier,1642756721361,260139,Acute bronchitis,Condition,MAPS_TO,,<auto>,1642597807348,
491,Chronic bronchitis,0,255841,full_match,BRONCHITIS CHRONICA,2000403980,Condition,3-char ICD9fi,1970-01-01,2099-12-31,490-496,,,1.00,APPROVED,EQUAL,Javier,1642756146926,255841,Chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597808874,
3621A,"Other retinal disorders, Other background retinopathy and retinal vascular changes",0,378416,unique_parent_match,RETINOPATHIA NON PROLIFERATIVA  (NON DIABETICA),2000403234,Condition,5-char ICD9fi,1970-01-01,2099-12-31,362,,,0.58,APPROVED,EQUIVALENT,Javier,1642756805650,376683,Nonproliferative retinopathy due to diabetes mellitus,Condition,MAPS_TO,,<auto>,1642597808983,
186,Malignant neoplasm of testis,0,433716,full_match,NEOPLASMA MALIGNUM TESTIS,2000401605,Condition,3-char ICD9fi,1970-01-01,2099-12-31,179-189,,,0.88,APPROVED,EQUAL,Javier,1642756146926,443398,Malignant tumor of intestine,Condition,MAPS_TO,,<auto>,1642597809002,
560,Intestinal obstruction without mention of hernia,0,193518,full_match,"OBSTRUCTIO INTESTINALIS, HERNIA NON INDICATA",2000404426,Condition,3-char ICD9fi,1970-01-01,2099-12-31,560-569,,,0.57,APPROVED,EQUAL,Javier,1642756146926,42536546,Deviation of ureter without obstruction,Condition,MAPS_TO,,<auto>,1642597809193,
1180A,Opportunistic mycoses[MYCOSIS OPPORTUNISTICA ALIA],0,432248,grandparent_match,MYCOSIS OPPORTUNISTICA ALIA,2000400860,Condition,5-char ICD9fi,1970-01-01,2099-12-31,118,,,0.69,APPROVED,NARROWER,Javier,1642756721361,432248,Opportunistic mycosis,Condition,MAPS_TO,,<auto>,1642597809753,
7301B,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,OLKAVARSI]",0,134735,parent_match,"OSTEOMYELITIS CHRONICA,OLKAVARSI",2000406132,Condition,5-char ICD9fi,1970-01-01,2099-12-31,730,,,0.39,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597811103,
4910A,"Chronic bronchitis, Simple chronic bronchitis",78,261889,unique_parent_match,BRONCHITIS CHRONICA NON PURULENTA,2000403981,Condition,5-char ICD9fi,1970-01-01,2099-12-31,491,,,0.89,APPROVED,EQUIVALENT,Javier,1642756805650,261889,Simple chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597811133,
6810A,"Cellulitis and abscess of finger and toe, Finger[PANARITIUM DIGITORUM MANUS]",13,79898,parent_match,PANARITIUM DIGITORUM MANUS,2000405382,Condition,5-char ICD9fi,1970-01-01,2099-12-31,681,,,0.60,APPROVED,NARROWER,Javier,1642756738661,4065991,Cellulitis and abscess of finger and toe,Condition,MAPS_TO,,<auto>,1642597811202,
120,Schistosomiasis [bilharziasis],0,436038,full_match,SCHISTOSOMIASIS (BILHARZIASIS),2000400861,Condition,3-char ICD9fi,1970-01-01,2099-12-31,120-129,,,0.83,APPROVED,EQUAL,Javier,1642756146926,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597811551,
4911A,"Chronic bronchitis, Mucopurulent chronic bronchitis",58,257905,unique_parent_match,BRONCHITIS CHRONICA MUCOPURULENTA,2000403982,Condition,5-char ICD9fi,1970-01-01,2099-12-31,491,,,0.90,APPROVED,EQUIVALENT,Javier,1642756805650,257905,Mucopurulent chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597813382,
1200A,"Schistosomiasis [bilharziasis], Schistosoma haematobium",0,436350,unique_parent_match,SCHISTOSOMIASIS SCHISTOSOMA HAEMATOBIUM,2000400862,Condition,5-char ICD9fi,1970-01-01,2099-12-31,120,,,0.62,APPROVED,EQUIVALENT,Javier,1642756805650,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597813733,
1860A,"Malignant neoplasm of testis, Undescended testis[NEOPL MAL TESTIS (ABDOMIN/INGUIN),SEMINOMA]",0,436054,parent_match,"NEOPL MAL TESTIS (ABDOMIN/INGUIN),SEMINOMA",2000401606,Condition,5-char ICD9fi,1970-01-01,2099-12-31,186,,,0.47,APPROVED,NARROWER,Javier,1642756738661,4092524,Malignant tumor of undescended testis,Condition,MAPS_TO,,<auto>,1642597814155,
9444X,"Burn of wrist(s) and hand(s), Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part[COMBUST CARPI/MANUS GR III CUM NECR PROF,LAAJ?]",0,81757,parent_match,"COMBUST CARPI/MANUS GR III CUM NECR PROF,LAAJ?",2000408315,Condition,5-char ICD9fi,1970-01-01,2099-12-31,944,,,0.34,APPROVED,NARROWER,Javier,1642756738661,443855,Deep third degree burn of wrist,Condition,MAPS_TO,,<auto>,1642597814238,
5600A,"Intestinal obstruction without mention of hernia, Intussusception[INVAGINATIO INTESTINI TENUIS]",13,197034,parent_match,INVAGINATIO INTESTINI TENUIS,2000404427,Condition,5-char ICD9fi,1970-01-01,2099-12-31,560,,,0.45,APPROVED,NARROWER,Javier,1642756738661,197034,Intussusception of intestine,Condition,MAPS_TO,,<auto>,1642597815352,
3622A,"Other retinal disorders, Other proliferative retinopathy[FIBROPLASIA RETROLENTALIS/RETINOPATHIA PRAEMATURIT]",0,45757798,parent_match,FIBROPLASIA RETROLENTALIS/RETINOPATHIA PRAEMATURIT,2000403235,Condition,5-char ICD9fi,1970-01-01,2099-12-31,362,,,0.39,APPROVED,NARROWER,Javier,1642756738661,45757798,Proliferative retinopathy,Condition,MAPS_TO,,<auto>,1642597815769,
945,Burn of lower limb(s),0,197751,full_match,COMBUSTIO EXTREMITATIS INFERIORIS,2000408316,Condition,3-char ICD9fi,1970-01-01,2099-12-31,940-949,,,0.67,APPROVED,EQUAL,Javier,1642756146926,197751,Burn of lower limb,Condition,MAPS_TO,,<auto>,1642597816140,
1201A,"Schistosomiasis [bilharziasis], Schistosoma Mansoni",0,437797,unique_parent_match,SCHISTOSOMIASIS SCHISTOSOMA MANSONI,2000400863,Condition,5-char ICD9fi,1970-01-01,2099-12-31,120,,,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597816545,
6810B,"Cellulitis and abscess of finger and toe, Finger[PARONYCHIA DIGITORUM MANUS]",11,79898,parent_match,PARONYCHIA DIGITORUM MANUS,2000405383,Condition,5-char ICD9fi,1970-01-01,2099-12-31,681,,,0.58,APPROVED,NARROWER,Javier,1642756738661,4065991,Cellulitis and abscess of finger and toe,Condition,MAPS_TO,,<auto>,1642597816588,
4912A,"Chronic bronchitis, Obstructive chronic bronchitis[BRONCHITIS CHRONICA OBSTRUCTIVA]",332,258780,parent_match,BRONCHITIS CHRONICA OBSTRUCTIVA,2000403983,Condition,5-char ICD9fi,1970-01-01,2099-12-31,491,,,0.69,APPROVED,NARROWER,Javier,1642756738661,258780,Emphysematous bronchitis,Condition,MAPS_TO,,<auto>,1642597816754,
7301C,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,KYYNÄRVARSI]",0,134735,parent_match,"OSTEOMYELITIS CHRONICA,KYYNÄRVARSI",2000406133,Condition,5-char ICD9fi,1970-01-01,2099-12-31,730,,,0.35,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597816809,
1202A,"Schistosomiasis [bilharziasis], Schistosoma japonicum",0,437499,unique_parent_match,SCHISTOSOMIASIS SCHISTOSOMA JAPONICUM,2000400864,Condition,5-char ICD9fi,1970-01-01,2099-12-31,120,,,0.61,APPROVED,EQUIVALENT,Javier,1642756805650,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597818455,
4912B,"Chronic bronchitis, Obstructive chronic bronchitis[BRONCHITIS OBSTRUCTIVA CUM EMPHYSEMATE]",241,258780,parent_match,BRONCHITIS OBSTRUCTIVA CUM EMPHYSEMATE,2000403984,Condition,5-char ICD9fi,1970-01-01,2099-12-31,491,,,0.61,APPROVED,NARROWER,Javier,1642756738661,258780,Emphysematous bronchitis,Condition,MAPS_TO,,<auto>,1642597819443,
1860B,"Malignant neoplasm of testis, Undescended testis[NEOP MAL TEST (ABD/ING),CA EMBR/TERATOCA/CHORIOCA]",0,436054,parent_match,"NEOP MAL TEST (ABD/ING),CA EMBR/TERATOCA/CHORIOCA",2000401607,Condition,5-char ICD9fi,1970-01-01,2099-12-31,186,,,0.41,APPROVED,NARROWER,Javier,1642756738661,4092524,Malignant tumor of undescended testis,Condition,MAPS_TO,,<auto>,1642597820054,
3622X,"Other retinal disorders, Other proliferative retinopathy[RETINOPATHIA PROLIFERATIVA ALIA]",0,45757798,parent_match,RETINOPATHIA PROLIFERATIVA ALIA,2000403236,Condition,5-char ICD9fi,1970-01-01,2099-12-31,362,,,0.50,APPROVED,NARROWER,Javier,1642756738661,45757798,Proliferative retinopathy,Condition,MAPS_TO,,<auto>,1642597820076,
1203A,"Schistosomiasis [bilharziasis], Cutaneous",0,140947,unique_parent_match,SCHISTOSOMIASIS CUTANEA,2000400865,Condition,5-char ICD9fi,1970-01-01,2099-12-31,120,,,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597820371,
9450A,"Burn of lower limb(s), Unspecified degree[COMBUSTIO EXTREMITATIS INFERIORIS NUD,<9%]",8,197751,parent_match,"COMBUSTIO EXTREMITATIS INFERIORIS NUD,<9%",2000408317,Condition,5-char ICD9fi,1970-01-01,2099-12-31,945,,,0.34,APPROVED,NARROWER,Javier,1642756738661,133637,Partial thickness burn of lower limb,Condition,MAPS_TO,,<auto>,1642597820396,
6811A,"Cellulitis and abscess of finger and toe, Toe[PANARITIUM DIGITORUM PEDIS]",8,78497,parent_match,PANARITIUM DIGITORUM PEDIS,2000405384,Condition,5-char ICD9fi,1970-01-01,2099-12-31,681,,,0.60,APPROVED,NARROWER,Javier,1642756738661,4065991,Cellulitis and abscess of finger and toe,Condition,MAPS_TO,,<auto>,1642597820458,
5600B,"Intestinal obstruction without mention of hernia, Intussusception[INVAGINATIO COLI]",0,197034,parent_match,INVAGINATIO COLI,2000404428,Condition,5-char ICD9fi,1970-01-01,2099-12-31,560,,,0.48,APPROVED,NARROWER,Javier,1642756738661,197034,Intussusception of intestine,Condition,MAPS_TO,,<auto>,1642597820589,
7301D,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,KÄSI]",0,134735,parent_match,"OSTEOMYELITIS CHRONICA,KÄSI",2000406134,Condition,5-char ICD9fi,1970-01-01,2099-12-31,730,,,0.39,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597820963,
4919X,"Chronic bronchitis, Unspecified chronic bronchitis",69,255841,unique_parent_match,BRONCHITIS CHRONICA NUD,2000403985,Condition,5-char ICD9fi,1970-01-01,2099-12-31,491,,,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,255841,Chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597822605,
1208X,"Schistosomiasis [bilharziasis], Other specified schistosomiasis",0,436038,unique_parent_match,SCHISTOSOMIASIS ALIA DEFINITA,2000400866,Condition,5-char ICD9fi,1970-01-01,2099-12-31,120,,,0.61,APPROVED,EQUIVALENT,Javier,1642756805650,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597823005,
492,Emphysema,0,261325,full_match,EMPHYSEMA,2000403986,Condition,3-char ICD9fi,1970-01-01,2099-12-31,490-496,,,0.77,APPROVED,EQUAL,Javier,1642756146926,4050734,Scar emphysema,Condition,MAPS_TO,,<auto>,1642597823684,
1860C,"Malignant neoplasm of testis, Undescended testis[NEOPL MAL TESTIS (ABDOMIN/INGUIN),MUU TAI TARK MÄÄR]",0,436054,parent_match,"NEOPL MAL TESTIS (ABDOMIN/INGUIN),MUU TAI TARK MÄÄR",2000401608,Condition,5-char ICD9fi,1970-01-01,2099-12-31,186,,,0.40,APPROVED,NARROWER,Javier,1642756738661,4092524,Malignant tumor of undescended testis,Condition,MAPS_TO,,<auto>,1642597824280,
6811B,"Cellulitis and abscess of finger and toe, Toe[PARONYCHIA DIGITORUM PEDIS]",21,78497,parent_match,PARONYCHIA DIGITORUM PEDIS,2000405385,Condition,5-char ICD9fi,1970-01-01,2099-12-31,681,,,0.58,APPROVED,NARROWER,Javier,1642756738661,4065991,Cellulitis and abscess of finger and toe,Condition,MAPS_TO,,<auto>,1642597824383,
