SOURCE	Location	Original_variable_name_fi	Original_variable_name_en	Code	name_fi	name_en	valid_start_date	valid_end_date
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	82	Mielenterveyskuntoutujien palveluasuminen	Service housing for mental health rehabilitators	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	83	Päiväsairaalahoito	day care	34700	44561
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	84	Vaikeavammaisten tehostettu palveluasuminen	Enhanced service housing for the severely disabled	38718	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	85	Mielenterveyskuntoutujien tehostettu palveluasuminen	Enhanced service housing for mental health rehabilitators	38718	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	86	Vanhainkodin/ palvelukeskuksen vanhusten päivähoito	Day care for the elderly in a nursing home / service center	39083	44561
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	88	Vaikeavammaisten palveluasuminen	Service housing for the severely disabled	44562	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	91	Päivystyskäynti	Emergency visit	34700	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	92	Ajanvarauskäynti, ensikäynti	Appointment visit, first visit	34700	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	93	Ajanvarauskäynti, uusintakäynti	Appointment visit, repeat visit	34700	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	94	Konsultaatiokäynti	Consultation visit	34700	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10	Sisätaudit	Internal medicine	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10A	Sisätautien allergologia	Allergology of internal medicine	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10E	Sisätautien endokrinologia	Endocrinology of internal medicine	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10F	Geriatria  (sisätaudit)	Geriatrics (internal medicine)	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10G	Sisätautien gastroenterologia	Gastroenterology of internal medicine	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10H	Kliininen hematologia	Clinical Hematology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10I	Infektiosairaudet	Infectious diseases	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10K	Kardiologia	Cardiology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10M	Nefrologia	Renal diseases; nephrology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	10R	Reumatologia	Rheumatology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	11	Anestesiologia ja tehohoito	Anesthesiology; anaesthetics and intensive care	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	15	Akuuttilääketiede	Emergency medicine	41275	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	15E	Akuuttilääketiede/erikoissairaanhoito	Emergency medicine / Specialised health care	41275	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	15Y	Akuuttilääketiede/yleislääketiede	Emergency medicine / Primary care medicine	41275	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20	Kirurgia	Surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20G	Gastroenterologinen kirurgia	Gastroenterological surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20J	Käsikirurgia	Hand surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20L	Lastenkirurgia	Paediatric surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20O	Ortopedia ja traumatologia	Orthopaedics and traumatology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20P	Plastiikkakirurgia	Plastic surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20R	Sydän- ja rintaelinkirurgia	Cardiothoracic surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20T	Thorax- ja verisuonikirurgia	Thoracic surgery	34335	39447
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20U	Urologia	Urology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20V	Verisuonikirurgia	Vascular surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	20Y	Yleiskirurgia	General surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	25	Neurokirurgia	Neurosurgery; neurological surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	30	Naistentaudit ja synnytykset	Gynecology and Obstetrics	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	30E	Gynekologinen endokrinologia ja andrologia	Gynecological Endocrinology and Andrology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	30Q	Perinatologia	Perinatology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	30S	Naistentautien sädehoito	Radiation Therapy in Gynecology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	30U	Naistentautien urologia	Urogynecology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40	Lastentaudit	Paediatrics	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40A	Lasten allergologia	Paediatric Allergology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40D	Neonatologia	Neonatology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40E	Lastenendokrinologia	Paediatric Endocrinology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40G	Lasten gastroenterologia	Paediatric Gastroenterology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40H	Lasten hematologia	Paediatric hematology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40I	Lasten infektiosairaudet	Paediatric Infectious Diseases	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40K	Lasten kardiologia	Paediatric Cardiology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	40M	Lasten nefrologia	Paediatric Nephrology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	50	Silmätaudit	Ophthalmology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	50N	Neuro-oftalmologia	Neuro-ophthalmology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	55	Korva-, nenä- ja kurkkutaudit	Ear, nose and throat diseases	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	55A	Korva-, nenä ja kurkkutautien allergologia	Allergology of ear, nose and throat diseases	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	55B	Audiologia	Audiology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	57	Foniatria	Phoniatrics	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	57B	Audiologia (foniatria)	Audiology (Phoniatrics)	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	58	Hammas-, suu- ja leukasairaudet	Dental, oral and maxillo-facial diseases	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	58V	Suu-ja leukakirurgia	Maxillo-facial surgery	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	58X	Hampaiston oikomishoito	Orthodontics	40179	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	58Y	Kliininen hammashoito	Clinical dental care	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	60	Ihotaudit ja allergologia	Dermatology and Allergology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	60A	Ihotautien allergologia	Dermatological Allergology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	60C	Ammatti-ihotaudit	Occupational skin disease	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	65	Syöpätaudit	Malignant tumours?	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	70	Psykiatria	Psychiatry	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	70F	Geriatrinen psykiatria	Geriatric psychiatry	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	70X	Nuorisopsykiatria (psykiatria)	Adolescent psychiatry (psychiatry)	34335	39082
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	70Z	Oikeuspsykiatria	Forensic psychiatry	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	74	Nuorisopsykiatria	Adolescent psychiatry	37622	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	75	Lastenpsykiatria	Child psychiatry	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	75X	Nuorisopsykiatria (lastenpsykiatria)	Adolescent psychiatry (Child psychiatry)	34335	39082
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	77	Neurologia	Neurology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	77F	Neurologinen geriatria	Neurological geriatry	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	78	Lastenneurologia	Paediatric Neurology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	80	Keuhkosairaudet	Respiratory diseases	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	80A	Keuhkosairaudet ja allergologia	Respiratory diseases and allergology	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	91K	Kliininen farmakologia ja lääkehoito	Clinical pharmacology and pharmacotherapy	44256	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	93	Liikuntalääketiede	Sports and Exercise medicine	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	94	Perinnöllisyyslääketiede	Medical genetics	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	95	Työlääketiede ja työterveyshuolto	Occupational medicine and occupational health services	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	96	Fysiatria	Physiatry	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	97	Geriatria	Geriatrics	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE6	EA/Erikoisala	Speciality	98	Yleislääketiede	General Medicine	34335	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE7	PALTU/Palveluntuottajan koodi (toimintayksikkökoodi)	Hospital type (Derived from the original)	University Hospital	Yliopistosairaala	University Hospital	NA	NA
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE7	PALTU/Palveluntuottajan koodi (toimintayksikkökoodi)	Hospital type (Derived from the original)	Central Hospital	Keskussairaala	Central Hospital	NA	NA
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE7	PALTU/Palveluntuottajan koodi (toimintayksikkökoodi)	Hospital type (Derived from the original)	Other Hospital	Muu sairaala	Other	NA	NA
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R10	Asiakkaan käynti vastaanotolla	The customer's visit to the reception	39083	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R20	Ammattihenkilön käynti asiakkaan kotona	Professional's visit to customer's home	39083	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R30	Ammattihenkilön käynti asiakkaan työpaikalla	Professional's visit to customer's work place	39083	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R40	Sairaalakäynti	Hospital visit	39083	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R41	Ammattihenkilön käynti asiakkaan luona muualla kuin kotona tai työpaikalla	Professional's visit to other than home or work place	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R50	Puhelinyhteys	Phone connection	39083	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R51	Sähköinen asiointi	Electronical transaction	39083	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R52	Reaaliaikainen etäasiointi	Realtime distance transaction	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R55	Kirje	Letter	39083	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R56	Etäasiointi ilman reaaliaikaista kontaktia	Distance transaction without a realtime contact	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R60	Ammattihenkilöiden välinen konsultaatio	Consultation between professionals	39083	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R70	Asiakirjamerkintä ilman asiakaskontaktia	Document marking without a customer contact	40148	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R71	Ammattihenkilöiden välinen neuvottelu	Negotiation between professionals	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R72	Asiakkaan asian hoito	Taking care of the customer's affairs	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R80	Vuodeosastohoito	Inpatient care	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE8	YHTEYSTAPA	Contact type	R90	Muu asiointi	Other transaction	39083	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	E	Kiireetön hoito	non-urgent treatment	39083	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	K	Kiireellinen hoidon tarve	urgent need for treatment	39083	42004
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	V	Välitön hoidon tarve	immediate need for treatment	39083	42004
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	1	Päivystyskäynti	emergency visit	42005	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	2	1-7 päivää	1-7 days	42005	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	3	Kiireellisenä alkanut vuodeosastohoito	Inpatient treatment started as an emergency	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	4	Kiireettömänä alkanut vuodeosastohoito	Inpatient treatment that started without urgency	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	5	Kiireellinen hoito muussa yksikössä	Urgent treatment in another unit	43466	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE9	KIIRELLISYYS	Urgency	6	Hoito päivystysyksikössä	Treatment in the emergency unit	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R10	Asiakkaan käynti vastaanotolla	The customer's visit to the reception	39083	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R20	Ammattihenkilön käynti asiakkaan kotona	Professional's visit to customer's home	39083	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R30	Ammattihenkilön käynti asiakkaan työpaikalla	Professional's visit to customer's work place	39083	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R40	Sairaalakäynti	Hospital visit	39083	43465
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R41	Ammattihenkilön käynti muualla kuin kotona tai työ	Professional's visit to other than home or work place	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R50	Puhelinyhteys	Phone connection	39083	43465
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R51	Sähköinen asiointi	Electronical transaction	39083	43465
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R52	Reaaliaikainen etäasiointi	Realtime distance transaction	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R55	Kirje	Letter	39083	43465
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R56	Etäasiointi ilman reaaliaikaista kontaktia	Distance transaction without a realtime contact	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R60	Ammattihenkilöiden välinen konsultaatio	Consultation between professionals	39083	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R70	Asiakirjamerkintä ilman asiakaskontaktia	Document marking without a customer contact	40148	43465
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R71	Ammattihenkilöiden välinen neuvottelu	Negotiation between professionals	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R72	Asiakkaan asian hoito	Taking care of the customer's affairs	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R80	Vuodeosastohoito	Inpatient care	43466	73050
PRIM_OUT	CODE5	KAYNTI_YHTEYSTAPA	Contact type	R90	Muu asiointi	Other transaction	39083	73050
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T11	Avosairaanhoito	Non-institutional health care	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T21	Äitiysneuvola	Prenatal clinic	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T22	Lastenneuvola	Child health clinic	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T23	Perhesuunnittelu-/ehkäisyneuvola	Family planning -/ contraceptive counselling	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T24	Muut neuvolapalvelut	Other guidance centre services	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T25	Kasvatus- ja perheneuvola	Child guidance and family counselling centre	41275	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T26	Kouluterveydenhuolto	School health service	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T27	Opiskeluterveydenhuolto	Student health service	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T28	Seulonnat ja muut joukkotarkastukset	Screenings and other mass inspections	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T29	Muu terveydenhoito	Other health care	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T30	Lakisääteinen työterveyshuolto	Statutory employee health service	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T31	Ei-lakisääteinen työterveyshuolto	Non-statutory employee health service	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T35	Merimiesterveydenhuolto	Sailors' healthcare	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T40	Kotihoito	Domiciliary care	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T41	Kotisairaanhoito	Home nursing	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T42	Kotipalvelu	Home service	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T43	Kotisairaala	At-home hospital	43101	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T51	Fysioterapia	Physiotherapy	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T52	Apuvälinepalvelu	Aid service	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T53	Puheterapia	Speech therapy	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T54	Toimintaterapia	Occupational therapy	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T55	Jalkaterapia	Foot therapy	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T56	Ravitsemusterapia	Nutritional therapy	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T58	Terveyssosiaalityö	Health social work	40909	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T59	Muu kuntoutus ja erityisterapia	Other rehabilitation and special therapy	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T60	Suun terveydenhuolto	Oral health care	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T71	Mielenterveystyö	Mental health work	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T73	Päihdetyö	Drug prevention	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T80	Päivätoiminta	Day provision	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T81	Päiväsairaalatoiminta	Day hospital provision	39083	47848
PRIM_OUT	CODE6	KAYNTI_PALVELUMUOTO	Service type	T90	Muu palvelutoiminta	Other service provision	39083	47848
PRIM_OUT	CODE7	KAYNTI_AMMATTI	Professional code of the recipient of the visit	'1'	Johtajat ja ylimm‰t virkamiehet	Legislators, senior officials and managers	NA	NA
PRIM_OUT	CODE7	KAYNTI_AMMATTI	Professional code of the recipient of the visit	'11'	Ylimm‰t virkamiehet ja j‰rjestˆjen johtajat	Legislators and senior officials	NA	NA
PRIM_OUT	CODE7	KAYNTI_AMMATTI	Professional code of the recipient of the visit	'111'	Ylimm‰t virkamiehet	Legislators and senior government officers	NA	NA
PRIM_OUT	CODE7	KAYNTI_AMMATTI	Professional code of the recipient of the visit	'1110'	Ylimm‰t virkamiehet	Legislators and senior government officers	NA	NA
