sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:obsolete_conceptId
PEPTOCOCCUS NIGER,PEPTOCOCCUS NIGER,-1,,2001200116,PEPTOCOCCUS NIGER,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4011695,Peptococcus niger,Observation,MAPS_TO,,TYKS,0,,
ACTINOMYCES GEORGIAE,ACTINOMYCES GEORGIAE,-1,,2001200117,ACTINOMYCES GEORGIAE,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4011992,Actinomyces georgiae,Observation,MAPS_TO,,TYKS,0,,
BACILLUS SIMPLEX,BACILLUS SIMPLEX,-1,,2001200118,BACILLUS SIMPLEX,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4012005,Bacillus simplex,Observation,MAPS_TO,,TYKS,0,,
CHRYSEOBACT.GLEUM,CHRYSEOBACT.GLEUM,-1,,2001200119,CHRYSEOBACT.GLEUM,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4012023,Chryseobacterium gleum,Observation,MAPS_TO,,TYKS,0,,
CHRYSEOBACT.INDOLOG,CHRYSEOBACT.INDOLOG,-1,,2001200120,CHRYSEOBACT.INDOLOG,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4012024,Chryseobacterium indologenes,Observation,MAPS_TO,,TYKS,0,,
MYROIDES ODORATUS,MYROIDES ODORATUS,-1,,2001200121,MYROIDES ODORATUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4012029,Myroides odoratus,Observation,MAPS_TO,,TYKS,0,,
CORYNEBACT.AFERMENT,CORYNEBACT.AFERMENT,-1,,2001200122,CORYNEBACT.AFERMENT,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4012161,Corynebacterium afermentans,Observation,MAPS_TO,,TYKS,0,,
CORYNEBACT.PROPINQ.,CORYNEBACT.PROPINQ.,-1,,2001200123,CORYNEBACT.PROPINQ.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4012162,Corynebacterium propinquum,Observation,MAPS_TO,,TYKS,0,,
PORPHYROMONAS -LAJI,PORPHYROMONAS -LAJI,-1,,2001200124,PORPHYROMONAS -LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4013782,Porphyromonas,Observation,MAPS_TO,,TYKS,0,,
ARTHROBACTER CUMMIN,ARTHROBACTER CUMMIN,-1,,2001200125,ARTHROBACTER CUMMIN,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4013796,Pseudoglutamicibacter cumminsii,Observation,MAPS_TO,,TYKS,0,,
CORYNEBACT.ULCERANS,CORYNEBACT.ULCERANS,-1,,2001200126,CORYNEBACT.ULCERANS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014182,Corynebacterium ulcerans,Observation,MAPS_TO,,TYKS,0,,
ACTINOM.EUROPAEUS,ACTINOM.EUROPAEUS,-1,,2001200127,ACTINOM.EUROPAEUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014250,Gleimia europaea,Observation,MAPS_TO,,TYKS,0,,
ACTINOMYCES GERENCS.,ACTINOMYCES GERENCS.,-1,,2001200128,ACTINOMYCES GERENCS.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014251,Actinomyces gerencseriae,Observation,MAPS_TO,,TYKS,0,,
ACTINOM.RADINGAE,ACTINOM.RADINGAE,-1,,2001200129,ACTINOM.RADINGAE,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014254,Actinomyces radingae,Observation,MAPS_TO,,TYKS,0,,
STAPH.LUGDUNENSIS,STAPH.LUGDUNENSIS,-1,,2001200130,STAPH.LUGDUNENSIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014324,Staphylococcus lugdunensis,Observation,MAPS_TO,,TYKS,0,,
CAMPYLOBACTER RECTUS,CAMPYLOBACTER RECTUS,-1,,2001200131,CAMPYLOBACTER RECTUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014399,Campylobacter rectus,Observation,MAPS_TO,,TYKS,0,,
ACTINOM.TURICENSIS,ACTINOM.TURICENSIS,-1,,2001200132,ACTINOM.TURICENSIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014559,Actinomyces turicensis,Observation,MAPS_TO,,TYKS,0,,
Actinomyces turicens,Actinomyces turicens,-1,,2001200133,Actinomyces turicens,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014559,Actinomyces turicensis,Observation,MAPS_TO,,TYKS,0,,
CAPNOCYTOPH. CANIM.,CAPNOCYTOPH. CANIM.,-1,,2001200134,CAPNOCYTOPH. CANIM.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014670,Capnocytophaga canimorsus,Observation,MAPS_TO,,TYKS,0,,
CITROBACTER FARMERI,CITROBACTER FARMERI,-1,,2001200135,CITROBACTER FARMERI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014816,Citrobacter farmeri,Observation,MAPS_TO,,TYKS,0,,
ENTEROBACTER HORMAE.,ENTEROBACTER HORMAE.,-1,,2001200136,ENTEROBACTER HORMAE.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4014972,Enterobacter hormaechei,Observation,MAPS_TO,,TYKS,0,,
STREP.GALLOLYTICUS,STREP.GALLOLYTICUS,-1,,2001200137,STREP.GALLOLYTICUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015114,Streptococcus gallolyticus,Observation,MAPS_TO,,TYKS,0,,
STREP.GORDONII,STREP.GORDONII,-1,,2001200138,STREP.GORDONII,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015115,Streptococcus gordonii,Observation,MAPS_TO,,TYKS,0,,
PAENIBAC.AMYLOLYT,PAENIBAC.AMYLOLYT,-1,,2001200139,PAENIBAC.AMYLOLYT,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015232,Paenibacillus amylolyticus,Observation,MAPS_TO,,TYKS,0,,
PAENIB.PABULI,PAENIB.PABULI,-1,,2001200140,PAENIB.PABULI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015237,Paenibacillus pabuli,Observation,MAPS_TO,,TYKS,0,,
BREVIB.CENTROSP,BREVIB.CENTROSP,-1,,2001200141,BREVIB.CENTROSP,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015245,Brevibacillus centrosporus,Observation,MAPS_TO,,TYKS,0,,
BREVIB.PARABREVIS,BREVIB.PARABREVIS,-1,,2001200142,BREVIB.PARABREVIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015248,Brevibacillus parabrevis,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA BUCCAE,PREVOTELLA BUCCAE,-1,,2001200143,PREVOTELLA BUCCAE,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015251,Prevotella buccae,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA BUCCALIS,PREVOTELLA BUCCALIS,-1,,2001200144,PREVOTELLA BUCCALIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015252,Prevotella buccalis,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA CORPORIS,PREVOTELLA CORPORIS,-1,,2001200145,PREVOTELLA CORPORIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015253,Prevotella corporis,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA HEPARIN.,PREVOTELLA HEPARIN.,-1,,2001200146,PREVOTELLA HEPARIN.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015254,Prevotella heparinolytica,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA INTERMED.,PREVOTELLA INTERMED.,-1,,2001200147,PREVOTELLA INTERMED.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015255,Prevotella intermedia,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA ORIS,PREVOTELLA ORIS,-1,,2001200148,PREVOTELLA ORIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015256,Prevotella oris,Observation,MAPS_TO,,TYKS,0,,
CORYNEBACT.AMYCOL.,CORYNEBACT.AMYCOL.,-1,,2001200149,CORYNEBACT.AMYCOL.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015383,Corynebacterium amycolatum,Observation,MAPS_TO,,TYKS,0,,
ATOPOBIUM RIMAE,ATOPOBIUM RIMAE,-1,,2001200150,ATOPOBIUM RIMAE,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015384,Atopobium rimae,Observation,MAPS_TO,,TYKS,0,,
MICROBACT.FLAVESCENS,MICROBACT.FLAVESCENS,-1,,2001200151,MICROBACT.FLAVESCENS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015407,Microbacterium flavescens,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA ORALIS,PREVOTELLA ORALIS,-1,,2001200152,PREVOTELLA ORALIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015530,Prevotella oralis,Observation,MAPS_TO,,TYKS,0,,
DIALISTER PNEUMOSINT,DIALISTER PNEUMOSINT,-1,,2001200153,DIALISTER PNEUMOSINT,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015533,Dialister pneumosintes,Observation,MAPS_TO,,TYKS,0,,
STREP.CRISTATUS,STREP.CRISTATUS,-1,,2001200154,STREP.CRISTATUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015546,Streptococcus cristatus,Observation,MAPS_TO,,TYKS,0,,
STREP.PARASANGUINIS,STREP.PARASANGUINIS,-1,,2001200155,STREP.PARASANGUINIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015548,Streptococcus parasanguinis,Observation,MAPS_TO,,TYKS,0,,
STREP.SANGUINIS,STREP.SANGUINIS,-1,,2001200156,STREP.SANGUINIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015549,Streptococcus sanguinis,Observation,MAPS_TO,,TYKS,0,,
STREP.SANGUIN-RYHMÄ,STREP.SANGUIN-RYHMÄ,-1,,2001200157,STREP.SANGUIN-RYHMÄ,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015549,Streptococcus sanguinis,Observation,MAPS_TO,,TYKS,0,,
STREP.VESTIBULARIS,STREP.VESTIBULARIS,-1,,2001200158,STREP.VESTIBULARIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015550,Streptococcus vestibularis,Observation,MAPS_TO,,TYKS,0,,
RALSTONIA PICKETTII,RALSTONIA PICKETTII,-1,,2001200159,RALSTONIA PICKETTII,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015665,Ralstonia pickettii,Observation,MAPS_TO,,TYKS,0,,
PAENIBACILLUS-LAJI,PAENIBACILLUS-LAJI,-1,,2001200160,PAENIBACILLUS-LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015673,Paenibacillus,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA DENTICOLA,PREVOTELLA DENTICOLA,-1,,2001200161,PREVOTELLA DENTICOLA,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015684,Prevotella denticola,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA DISIENS,PREVOTELLA DISIENS,-1,,2001200162,PREVOTELLA DISIENS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015685,Prevotella disiens,Observation,MAPS_TO,,TYKS,0,,
PREVOTELLA MELANIN.,PREVOTELLA MELANIN.,-1,,2001200163,PREVOTELLA MELANIN.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015686,Prevotella melaninogenica,Observation,MAPS_TO,,TYKS,0,,
PORPHYROMONAS GINGIV,PORPHYROMONAS GINGIV,-1,,2001200164,PORPHYROMONAS GINGIV,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015691,Porphyromonas gingivalis,Observation,MAPS_TO,,TYKS,0,,
DIALISTER-LAJI,DIALISTER-LAJI,-1,,2001200165,DIALISTER-LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4015693,Dialister,Observation,MAPS_TO,,TYKS,0,,
BREVUND.DIM/VESIC,BREVUND.DIM/VESIC,-1,,2001200166,BREVUND.DIM/VESIC,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016008,Brevundimonas,Observation,MAPS_TO,,TYKS,0,,
CITROBACTER BRAAKI,CITROBACTER BRAAKI,-1,,2001200167,CITROBACTER BRAAKI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016020,Citrobacter braakii,Observation,MAPS_TO,,TYKS,0,,
SERRATIA ODORIFERA,SERRATIA ODORIFERA,-1,,2001200168,SERRATIA ODORIFERA,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016238,Serratia odorifera,Observation,MAPS_TO,,TYKS,0,,
BILOPHILA WADSWORT.,BILOPHILA WADSWORT.,-1,,2001200169,BILOPHILA WADSWORT.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016443,Bilophila wadsworthia,Observation,MAPS_TO,,TYKS,0,,
CITROBACTER KOSERI,CITROBACTER KOSERI,-1,,2001200170,CITROBACTER KOSERI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016448,Citrobacter koseri,Observation,MAPS_TO,,TYKS,0,,
CITROBACTER SEDLAKII,CITROBACTER SEDLAKII,-1,,2001200171,CITROBACTER SEDLAKII,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016449,Citrobacter sedlakii,Observation,MAPS_TO,,TYKS,0,,
ENTEROBACTER CANCERO,ENTEROBACTER CANCERO,-1,,2001200172,ENTEROBACTER CANCERO,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016600,Enterobacter cancerogenus,Observation,MAPS_TO,,TYKS,0,,
ENTEROBACTER CANCER.,ENTEROBACTER CANCER.,-1,,2001200173,ENTEROBACTER CANCER.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016600,Enterobacter cancerogenus,Observation,MAPS_TO,,TYKS,0,,
MICROBACTERIUM SPP,MICROBACTERIUM SPP,-1,,2001200174,MICROBACTERIUM SPP,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016870,Microbacterium,Observation,MAPS_TO,,TYKS,0,,
MICROBACTERIUM AURUM,MICROBACTERIUM AURUM,-1,,2001200175,MICROBACTERIUM AURUM,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4016871,Microbacterium aurum,Observation,MAPS_TO,,TYKS,0,,
CITROBACTER YOUNGAE,CITROBACTER YOUNGAE,-1,,2001200176,CITROBACTER YOUNGAE,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4017113,Citrobacter youngae,Observation,MAPS_TO,,TYKS,0,,
ENTEROBACTER KOBEI,ENTEROBACTER KOBEI,-1,,2001200177,ENTEROBACTER KOBEI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4017114,Enterobacter kobei,Observation,MAPS_TO,,TYKS,0,,
CHRYSEOBACT.LAJI,CHRYSEOBACT.LAJI,-1,,2001200178,CHRYSEOBACT.LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4017975,Chryseobacterium,Observation,MAPS_TO,,TYKS,0,,
GORDONIA SPP,GORDONIA SPP,-1,,2001200179,GORDONIA SPP,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4018414,Gordonia,Observation,MAPS_TO,,TYKS,0,,
PANTOEA -LAJI,PANTOEA -LAJI,-1,,2001200180,PANTOEA -LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4018786,Pantoea,Observation,MAPS_TO,,TYKS,0,,
PANTOEA AGGLOMERANS,PANTOEA AGGLOMERANS,-1,,2001200181,PANTOEA AGGLOMERANS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4018788,Pantoea agglomerans,Observation,MAPS_TO,,TYKS,0,,
AEROMONAS CAVIAE,AEROMONAS CAVIAE,-1,,2001200182,AEROMONAS CAVIAE,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4018795,Aeromonas caviae,Observation,MAPS_TO,,TYKS,0,,
SPHINGOMONAS-LAJI,SPHINGOMONAS-LAJI,-1,,2001200183,SPHINGOMONAS-LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4018817,Sphingomonas,Observation,MAPS_TO,,TYKS,0,,
CANDIDA DUBLINIENSIS,CANDIDA DUBLINIENSIS,-1,,2001200184,CANDIDA DUBLINIENSIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4018997,Candida dubliniensis,Observation,MAPS_TO,,TYKS,0,,
CAMPYLOBACTER CURVUS,CAMPYLOBACTER CURVUS,-1,,2001200185,CAMPYLOBACTER CURVUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4019078,Campylobacter curvus,Observation,MAPS_TO,,TYKS,0,,
DERMATOFYYTTI,DERMATOFYYTTI,-1,,2001200186,DERMATOFYYTTI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4019374,Dermatophyte,Observation,MAPS_TO,,TYKS,0,,
GEMELLA -LAJI,GEMELLA -LAJI,-1,,2001200187,GEMELLA -LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4021869,Gemella,Observation,MAPS_TO,,TYKS,0,,
CANDIDA PELLICULOSA,CANDIDA PELLICULOSA,-1,,2001200188,CANDIDA PELLICULOSA,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Auto-remapping using OHDSI release 2024-08-29,1727395200000,4145969,Wickerhamomyces anomalus,Observation,MAPS_TO,,TYKS,1727395200000,,4021988
OCHROBACTRUM-LAJI,OCHROBACTRUM-LAJI,-1,,2001200189,OCHROBACTRUM-LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4023072,Ochrobactrum,Observation,MAPS_TO,,TYKS,0,,
